User-ID,city,state,Age
42,appleton,wisconsin,17
44,black mountain,north carolina,51
51,renton,washington,34
56,cheyenne,wyoming,24
67,framingham,massachusetts,43
70,rochester,new york,44
75,long beach,california,37
78,oakland,california,18
99,franktown,colorado,42
109,muncie,indiana,20
114,ligonier,pennsylvania,57
125,lansing,michigan,49
129,bloomington,minnesota,47
133,jacksonville,florida,45
165,olympia,washington,62
178,rexford,new york,28
185,baton rouge,louisiana,17
228,ann arbor,michigan,41
254,minneapolis,minnesota,24
272,walla walla,washington,20
278,chicago,illinois,21
289,tampa,florida,15
302,capitola,california,53
323,seattle,washington,23
332,lake oswego,oregon,59
345,columbia,tennessee,27
367,culver city,california,45
376,fishers,indiana,35
387,charity,missouri,17
388,nashville,tennessee,35
408,mountain view,california,17
413,naperville,illinois,17
424,portland,oregon,29
431,ridgway,pennsylvania,40
433,smock,pennsylvania,48
440,brookfield,wisconsin,16
444,sweet home,oregon,40
486,portland,oregon,31
493,manhattan,kansas,29
496,west salem,wisconsin,51
499,la verne,california,62
500,san antonio,texas,17
503,el centro,california,40
505,washington,dc,51
508,portland,oregon,29
512,winter springs,florida,58
523,bozeman,montana,19
530,moab,utah,47
538,perryville,missouri,26
565,franklin,tennessee,48
595,hollywood,florida,17
596,san francisco,california,49
638,san diego,california,20
651,interlachen,florida,26
677,baton rouge,louisiana,27
683,union,illinois,28
685,stevens point,wisconsin,21
709,roanoke,virginia,14
726,eatontown,new jersey,31
735,cortland,new york,29
739,oakdale,minnesota,55
741,novinger,missouri,16
744,ocala,florida,48
746,longmont,colorado,36
757,philadelphia,pennsylvania,29
771,ft. sill,oklahoma,38
774,wentzville,missouri,16
782,hallandale,florida,57
786,panhandle,texas,48
805,sonoma,california,34
824,albuquerque,new mexico,15
828,albuquerque,new mexico,35
834,rockville,maryland,17
843,deer lodge,tennessee,25
853,chesterfield,michigan,24
882,berkeley,california,23
883,brookfield,connecticut,43
887,castaic,california,30
900,scranton,pennsylvania,25
902,overland,missouri,18
903,los angeles,california,19
915,humble,texas,50
965,las cruces,new mexico,24
969,river forest,illinois,13
999,newark,delaware,21
1009,delano,minnesota,56
1010,silver spring,maryland,26
1031,sparks,maryland,52
1038,dallas,texas,26
1054,burnsville,minnesota,37
1060,lincoln,nebraska,38
1075,hurst,texas,49
1082,rochester,washington,36
1087,birmingham,alabama,46
1094,largo,florida,18
1096,arvada,colorado,18
1113,richmond,missouri,22
1129,bothell,washington,53
1140,bridgewater,new jersey,19
1150,jericho,vermont,25
1155,smyrna,georgia,22
1164,woburn,massachusetts,35
1167,milwaukee,wisconsin,25
1169,olympia,washington,27
1180,storrs,connecticut,23
1184,la mirada,california,38
1250,arlington,virginia,44
1258,st. paul,minnesota,18
